Câu số,Câu hỏi,Đáp án A,Đáp án B,Đáp án C,Đáp án D,Đáp án đúng
11,"Câu 11:  Trong mô hình 3 lớp,các chức năng của chương trình được tách ra thành 3 lớp riêng biệt. Việc tách lớp này làm cho các phần của chương trình trở lên:","a. chương trình trở lên độc lập hơn, đáng tin cậy hơn. Chương trình trở lên linh đọng hơn trong việc thay thế, nâng cấp và do đó mô hình này rất thích hợp với những ứng dụng có yêu cầu thay đổi thường xuyên.","b. chương trình trở lên độc lập hơn, đáng tin cậy hơn.",c. chương trình trở lên linh động hơn trong việc thay thế và nâng cấp.,d. chương trình trở lên thích hợp với những ứng dụng có yêu cầu thay đổi thường xuyên.,Đáp án : a
12,"Câu 12: Trong mô hình 3 lớp, lớp giao diện (Presentation logic) la :","a. Lớp này là cầu nối giữa người dùng với ứng dụng, cung cấp những chức năng ứng dụng cho người dùng và nhận lênh từ người dùng cho ứng dụng.","b. Lớp này là phần lõi của một chương trình, cung cấp tất cả những chức năng nghiệp vụ của chương trình cho lớp nghiệp vụ bên trên.",c. Lớp này cung cấp khả năng truy xuất đến CSDL cho lớp nghiệp vụ nếu cần.,d. Không có đáp án đúng.,Đáp án: a
13,"Câu 13:  Trong mô hình 3 lớp, lớp nghiệp vụ (Business logic) là:","a. Lớp này là phần lõi của một chương trình, cung cấp tất cả những chức năng nghiệp vụ của chương trình cho lớp nghiệp vụ bên trên.",b. Lớp này cung cấp khả năng truy xuất đến CSDL cho lớp nghiệp vụ nếu cần.,"c. Lớp này là cầu nối giữa người dùng với ứng dụng, cung cấp những chức năng ứng dụng cho người dùng và nhận lênh từ người dùng cho ứng dụng.",d. Không có đáp án đúng.,Đáp án: a
14,"Câu 14: Trong mô hình 3 lớp, lớp CSDL (Data Access logic) là:",a. Lớp này cung cấp khả năng truy xuất đến CSDL cho lớp nghiệp vụ nếu cần.,"b. Lớp này là phần lõi của một chương trình, cung cấp tất cả những chức năng nghiệp vụ của chương trình cho lớp nghiệp vụ bên trên.","c. Lớp này là cầu nối giữa người dùng với ứng dụng, cung cấp những chức năng ứng dụng cho người dùng và nhận lênh từ người dùng cho ứng dụng.",d. Không có đáp án đúng.,Đáp án: a
15,Câu 15: Mô hình 2 lớp (two_tier) chia làm mấy loại ?,a. 2,b. 3,c. 4,d. 5,Đáp án: a
16,Câu 16:  Mô hình 2 lớp loại tính toán tập trung ở máy khách ( fat client_thin server ) có khuyết điểm gì?,"a. Cả 1,2,3.",b. Do tính toán nghiêng về phía client nên đồi hỏi client phải có cấu hình đủ mạnh.(1),c. Do lớp chức năng của chương trình nằm ở phía client nên khi chương trình cần nâng cấp thì sẽ rất khó khăn vì phải cập nhật lại chương trình nằm ở toàn bộ các client. (2),d. Do mọi thao tác nằm trên client nên thao tác yêu cầu dữ liệu giữa client và server nhiều dẫn đến tốc độ chương trình chậm. (3),Đáp án: a
17,Câu 17:  Mô hình 2 lớp loại tính toán tập trung ở máy chủ ( fat  server_thin client ) có ưu điểm gì?,"a. Cả 1,2,3.",b. Giảm sự lưu thông trên mạng và tốc độ nhanh hơn do lớp choc năng của chương trình nằm ở máy chủ cùng với CSDL.(1),c. Mọi thao tác với CSDL của chương trình đều được thực hiện gay trên máy chủ và thông tin lưu thông trên mạng chỉ là những kết quả được trả về cho người dùng sau khi được tính toán. (2),d. Do phần lùi của chương trình được đặt tập trung tại máy chủ nên việc cập nhật chương trình sẽ dễ dàn hơn. (3),Đáp án : a
18,Câu 18: Nhược điểm của mô hình tính toán tập trung là ?,"a. Cả 1,2,3.",b. Tất cả các xử lý đều được thực hiện trên máy frame.(1),"c. Các thiết bị đầu cuối chỉ có nhiệm vụ hiển thị giao diện người dùng và tương tác với người sử dụng, chúng không có bất cứ xử lý nào.",d. năng lực tính toán của máy frame nhanh chóng giảm xuống khi có nhiều người sử dụng đồng thời.(3),Đáp án : a
19,Câu 19 : Trong mô hình 2 lớp(two_tier) thì lớp server có nhiệm vụ gì ?,"a. Quản lý dữ liệu, bảo mật, quản lý người dùng, thực thi các truy vấn, ràng buộc và các thủ tục lưu trữ.","b. Quản lý người dùng, thực thi các truy vấn, ràng buộc và các thủ tục lưu trữ.","c. Quản lý dữ liệu, bảo mật.","d. Quản lý dữ liệu, bảo mật, thực thi các truy vấn.",Đáp án : a
20,Câu 20 :  Nhược điểm của mô hình đa lớp(n_tier) là ?,"a. Khó xây dựng, nâng cấp, bảo trì ứng dụng.",b. Không đảm bảo độ tin cậy.,c. Tốc độ dữ liệu bị hạn chế.,d. Tốn kém trong việc sử dụng phần cứng.,Đáp án: a
21,Câu 21 :  Lợi ích của các ứng dụng phân tán là gì ?,"a.  ứng dụng có khả năng mở rộng cao, dễ nâng cấp và bảo trì ứng dụng.",b.  ứng dụng không có khả năng mở rộng cao,c.  Tốc độ truyền dữ liệu nhanh,d.  Không tốn kém trong việc sử dụng phần cứng.,Đáp án : a
22,Câu 22 :  Phát biểu nào đúng ?,"a.  Một ứng dụng phân tán có tất cả các lợi ích của phương pháp lập trình hướng thành phần, ngoài ra còn có các lợi ích khác",b.  Một ứng dụng phân tán không có đầy đủ các lợi ích của phương pháp lập trình hướng thành phần,c.  Một ứng dụng phân tán chỉ có một số lợi ích của phương pháp lập trình hướng thành phần,d.  Một ứng dụng phân tán có các lợi ích khác với phương pháp lập trình hướng thành phần,Đáp án : a
23,Câu 23 :  Phát biểu nào sai ?,"a.  Một ứng dụng phân tán có tất cả các lợi ích của phương pháp lập trình hướng thành phần, ngoài ra còn có các lợi ích khác",b.  Một trong các lợi ích của ứng dụng phân tán là: dễ nâng cấp và bảo trì ứng dụng,c.  Một ứng dụng phân tán chỉ có một số lợi ích của phương pháp lập trình hướng thành phần,d.  Một trong các lợi ích của ứng dụng phân tán là: dễ dàng quản lý bảo mật,Đáp án : a
24,Câu 24 :  Lập trình phân tán với COM+/MTS  từ COM viết tắt của từ nào?,a.  Component Object Model,b.  Computer Object Model,c.  Component Ouput Model,d.  Component Object Memory,Đáp án : a
25,Câu 25 :  Lập trình phân tán với COM+/MTS  từ MTS viết tắt của từ nào?,a.  Microsoft Transaction Server,b.  Mycomputer Transaction Server,c.  Memmory Transaction Server,d.  Microsoft Transaction System,Đáp án : a
26,Câu 26 :  Các thành phần của COM trong Lập trình phân tán với COM+/MTS  được viết bằng một trong những ngôn ngữ lập trình  nào?,a.  Visual Basic,b.   Prolog,c.   C,d.   Pascal,Đáp án : a
27,Câu 27 :  Lập trình phân tán đối tượng với RMI từ RMI được viết tắt của từ nào?,a.  Remote Method Invoke,b.   Read Method Invoke,c.   Read Method Input,d.   Remote Memory Invoke,Đáp án : a
28,Câu 28 :  Từ nào được hiểu là triệu gọi giao thức từ xa ?,a.  Remote Method Invoke,b.   Read Method Invoke,c.   Read Method Input,d.   Remote Memory Invoke,Đáp án : a
29,Câu 29 :  RMI là công nghệ gì ?,a.  Công nghệ thuần Java,b.  Công nghệ thuần dot net,c.  Lập trình Visual basic,d.  Lập trình Visual C++,Đáp án : a
30,Câu 30 : Công cụ nào là cách thức giao tiếp giữa các đối tượng java có mã lệnh cài đặt (bao gồm phương thức và thuộc tính) nằm trên các máy khác nhau có thể triệu gọi lẫn nhau?,a.  RMI,b.   COM+/MTS,c.   MDI,d.   Class,Đáp án : a
31,Câu 31: Công cụ nào là cách thức giao tiếp giữa các đối tượng java có mã lệnh cài đặt (bao gồm phương thức và thuộc tính) nằm trên các máy khác nhau có thể triệu gọi lẫn nhau?,a.  Remote Method Invoke,b.   Read Method Invoke,c.   Read Method Input,d.   Remote Memory Invoke,Đáp án : a
32,Câu 32 :  Một ứng dụng có mã lệnh thực thi được phân tán trên nhiều máy thì được gọi là gì ?,a.  Chương trình phân tán,b.  Lập trình phân tán,c.  Cơ sở dữ liệu phân tán,d.  Remote Memory Invoke,Đáp án : a
33,Câu 33 : Việc lập trình để tạo ra các chương trình phân tán được gọi là gì ?,a.  Lập trình phân tán,b.  Lập trình cơ sở dữ liệu,c.  Lập trình mạng,d.  Lập trình hướng đối tượng,Đáp án : a
34,"Câu 34 :  Lập trình phân tán đối tượng với Corba, từ Corba là gì ?",a.  Kiến trúc môi giới các đối tượng,b.  Lập trình cơ sở dữ liệu,c.  Kiến trúc cơ sở dữ liệu,d.  Lớp đối tượng,Đáp án : a
35,"Câu 35: Lập trình phân tán đối tượng với Corba, trong đó từ Corba viết đầy đủ như thế nào?",a.  Common Object Request Broker Architecture,b.  Computer Object Request Broker Architecture,c.  Common Ouput Request Broker Architecture,d.  Common Object Read Broker Architecture,Đáp án : a
36,"Câu 36 :  Lập trình phân tán đối tượng với Corba, trong đó từ Corba được xây dựng bởi tổ chức nghiên cứu nào?",a.  OMG (Object Manager Group),b.  WTO (World Trade Organization),c.  WHO (World Health Organization),d.  APEC (Asia-Pacific Economic Cooperation),Đáp án : a
37,Câu 37:  Remoting là gì?,a.   Là công nghệ lập trình phân tán của . NET,b.   Là công nghệ lập trình phân tán của java,c.   Tất cả đều đúng,d.   Tất cả đều sai,Đáp án : a
38,Câu 38:  Phát biểu nào sai ?,"a.   Lập trình phân tán REMOTING trong .NET, Client và Server không cùng giao diện của Remoting","b.   Lập trình phân tán REMOTING trong .NET, Client và Server cùng có giao diện của Remoting","c.   Lập trình phân tán REMOTING trong .NET, Client kết nối tới remoting services để lấy tham chiếu đối tượng Remote","d.   Lập trình phân tán REMOTING trong .NET, Server triển khai đối tượng, đăng ký với Remoting channel services.",Đáp án : a
39,Câu 39:  Đâu không phải là đặc điểm của Web Service ?,a.  Web service không cho phép client và server tương tác được với nhau trong những môi trường khác nhau,b.  Web service cho phép client và server tương tác được với nhau mặc dù trong những môi trường khác nhau,c.   Web service được thiết kế mở và dựa vào các chuản: XML và HTTP,d.   Web service có thể công bố (publish) va gọi thực hiện qua mạng,Đáp án : a
40,Câu 40 : Vai trò của Web Service?,a.  Web service ra đời mở ra hướng mới cho việc phát triển các ứng dụng trên Internet,b. Web service ra đời mở ra hướng mới cho việc phát triển các ứng dụng trên mạng LAN,c.  Web service được thiết kế mở và dựa vào các chuản: XML và HTTP,d. Web service ra đời mở ra hướng mới cho việc phát triển các ứng dụng trên hệ điều hành Windows,Đáp án : a
41,Câu 41 :  Cơ sở dữ liệu nào cần phải sử dụng mạng máy tính?,a.  Cơ sở dữ liệu phân tán,b.  Cơ sở dữ liệu hướng đối tượng,c.  Cơ sở dữ liệu quan hệ,d.  Tất cả các cơ sở dữ liệu trên,Đáp án : a
42,Câu 42:  Hệ quản trị cơ sở dữ liệu phân tán là gì?,a.  Là hệ thống các phần mềm cho phép quản trị cơ sở dữ liệu phân tán và làm cho sự phân tán đó là trong suốt đối với người sử dụng,b.  Là hệ thống các phần mềm cho phép quản trị cơ sở dữ liệu có thể tìm kiếm dữ liệu từ nhiều máy đến chỉ một máy thông qua mạng,c.   Là hệ thống các phần mềm cho phép quản trị cơ sở dữ liệu có thể lưu trữ đến một máy thông qua mạng,d.   Là hệ thống các phần mềm cho phép quản trị cơ sở dữ liệu phân tán,Đáp án : a
43,Câu 43:  Đâu là tên gọi của mô hình cơ sở dữ liệu phân tán?,a.   Distributed Database Model,b.   Data Database Model,c.   Distributed Data Model,d.   Distributed Database Memmory,Đáp án : a
44,"Câu 44 :  Trong cơ sở dữ liệu phân tán, sự điều khiển được thực hiện theo một cấu trúc điều khiển phân cấp bao gồm mấy loại người quản trị CSDL",a.   1,b.   2,c.   3,d.   4,Đáp án : a
45,Câu 45:  Ai là người có trách nhiệm chính về toàn bộ cơ sở dữ liệu phân tán?,a.   Người quản trị cơ sở dữ liệu toàn cục,b.   Người quản trị cơ sở dữ liệu cục bộ,c.   Người sử dụng,d.   Nhân viên kỹ thuật,Đáp án : a
46,Câu 46:  Muốn tạo lập cơ sở dữ liệu trong Oracle Database XE bước 1 click vào đâu?,a.  Application Express,b.  Parameters,c.  Sessions,d.  Storage,Đáp án : a
47,Câu 47:  Trong Oracle Database XE kích vào Application Express để thực hiện công việc gì?,a.  Để tạo ra một cơ sở dữ liệu mới,b.  Để lưu trữ dữ liệu,c.  Truyền thông điệp,d.  Truyền tham số,Đáp án : a
48,Câu 48:  Trong Oracle Database XE đâu là tên cơ sở dữ liệu dùng để giao dịch với máy khác thông qua mạng máy tính,a.  Application Express User name,b.  Database User name,c.  Table name,d.  Form name,Đáp án : a
49,"Câu 49:  Trong Oracle Database XE, sau khi đã khai báo  Application Express User name, Database User name, Password kích chuột vào nút nào?",a.  Create Workspace,b.  Create Table,c.  Design,d.  Use Existing,Đáp án : a
50,Câu 50:  Trong Oracle Database XE đâu là tên cơ sở dữ liệu dùng để tạo ra tại một máy tính,a.  Database User name,b.  Application Express User name,c.  Table name,d.  Form name,Đáp án : a
51,"Câu 51:  Trong Oracle SQL Developer, khi chọn  Database Links thực hiện công việc gì?",a.  Tạo liên kết với cơ sở dữ liệu máy khác thông qua mạng LAN,b.  Tạo liên kết với các cơ sở dữ liệu trong cùng một máy,c.  Tạo liên kết giữa Oracele với SQL Server,d.  Tạo liên kết giữa các Table,Đáp án : a
52,Câu 52:  Muốn tạo liên kết với cơ sở dữ liệu máy khác thông qua mạng LAN bạn chọn ứng dụng nào?,a.  Database Links,b.  Hyperlink,c.  LinkTable,d.  Links Database,Đáp án : a
53,Câu 53:  Bản chất của cơ sở dữ liệu phân tán là gì?,"a.  Dữ liệu nằm ở các máy khác nhau, tất cả các máy trong mạng LAN có thể sử dụng được dữ liệu đó","b.  Dữ liệu nằm ở trên một máy, tất cả các máy trong mạng LAN có thể sử dụng được dữ liệu đó",c.  Dữ liệu nằm ở trên các ổ đĩa khác nhau của máy,d.  Dữ liệu nằm ở trên các thư mục khác nhau của máy,Đáp án : a
54,Câu 54:  Ai là người có trách nhiệm chính về toàn bộ cơ sở dữ liệu phân tán?,a.  Global Database Administrator,b.  Local Database Administrator,c.  User,d.  Administrator,Đáp án : a
55,Câu 55:  Ai là người có trách nhiệm chính về cơ sở dữ liệu cục bộ của họ?,a.  Local  Database Administrator,b.  Global Database Administrator,c.  User,d.  Administrator,Đáp án : a
56,"Câu 56:  Trong cơ sở dữ liệu phân tán, thuật ngữ Distribution Transparency là gì?",a.  Sự trong suốt phân tán,b.  Sự phân chia,c.  Độc lập dữ liệu,d.  Sự phân mảnh,Đáp án : a
57,"Câu 57: Trong cơ sở dữ liệu phân tán, thuật ngữ nào là sự trong suốt phân tán?",a.  Distribution Transparency,b.  Distribution Transport,c.  Data Transparency,d.  Distribution Technology,Đáp án : a
58,Câu 58: Từ nào là tên gọi của hệ quản trị cơ sở dữ liệu phân tán?,a.  Database Distributed Management System,b.  Database Distributed Memory System,c.  Database Distributed Management Sign,d.  Database Drop Management System,Đáp án : a
59,Câu 59:  Database Distributed Management System là gì?,a.  Hệ quản trị cơ sở dữ liệu phân tán,b.  Cơ sở dữ liệu phân tán,c.  Hệ quản trị cơ sở dữ liệu quan hệ,d.  Hệ thống thông tin quản lý,Đáp án : a
60,"Câu 60: Trong hệ quản trị cơ sở dữ liệu phân tán, từ nào có nghĩa là thành phần truyền dữ liệu?",a.  Data Communication,b.  Data Transport,c.  Distributed Database,d.  Data Dictionary,Đáp án : a
61,Câu 61:  Hình trên để làm gì?,a.  Tạo kết nối cơ sở dữ liệu với máy khác,b.  Tạo cơ sở dữ liệu,c.  Tạo liên kết các bảng dữ liệu,d.  Tạo siêu liên kết,Đáp án : a
62,Câu 62:  Hình trên Name là gì?,a.  Tên liên kết với cơ sở dữ liệu máy khác,b.  Tên bảng biểu,c.  Tên của cơ sở dữ liệu,d.  Tạo siêu liên kết,Đáp án: a
63,Câu 63:  Hình trên Service Name là gì?,a.  Địa chỉ IP của máy trong mạng cần kết nối dữ liệu,b.  Địa chỉ IP của máy hiện tại,c.  Tên cơ sở dữ liệu của máy hiện tại,d.  Tên cơ sở dữ liệu của máy cần kết nối,Đáp án: a
64,Câu 64:  Hình trên Service Name gõ như thế nào mới đúng?,a.  192.168.1.1,b.  www.oracle.com,c.  info@oracle.com,d.  admin,Đáp án: a
65,Câu 65:  Hình trên User Name sẽ gõ vào là gì?,a.  Tên của cơ sở dữ liệu cần tạo liên kết đến,b.  Tên của cơ sở dữ liệu máy hiện tại,c.  Tên của máy hiện tại,d.  Tên của hệ thống,Đáp án: a
66,Câu 66:  Hình trên Password sẽ gõ vào là gì?,a.  Mật khẩu của cơ sở dữ liệu cần tạo liên kết đến,b.  Mật khẩu của cơ sở dữ liệu máy hiện tại,c.  Mật khẩu của máy hiện tại,d.  Mật khẩu của hệ thống,Đáp án: a
67,Câu 67:  Hình trên schema là gì,a.  Tên của cơ sở dữ liệu máy hiện tại,b.  Tên của cơ sở dữ liệu máy cần tạo liên kết đến,c.  Tên của bảng biểu,d.  Tên của truy vấn cần liên kết,Đáp án: a
68,Câu 68:  Hình trên Demo là gì?,a.  Tên của cơ sở dữ liệu máy hiện tại đã tạo,b.  Tên của cơ sở dữ liệu máy cần tạo liên kết đến đã tạo,c.  Tên của bảng biểu đã tạo,d.  Tên của truy vấn cần liên kết đã tạo,Đáp án: a
69,"Câu 69:  Trong Oracle SQL Developer, sau khi tạo tên của cở sở dữ liệu kết nối với máy khác muốn kiểm tra cơ sở dữ liệu có kết nối thành công không bạn chọn?",a.  Test Database Link,b.  Test Network,c.  Test Connection,d.  Check,Đáp án: a
70,"Câu 70:  Trong Oracle SQL Developer, muốn tạo tên một kết nối với cơ sở dữ liệu của máy khác bạn chọn?",a.  New Database Link,b.  New Link,c.  New Connection,d.  New oracle,Đáp án: a
71,"Câu 71:  Trong Oracle SQL Developer, khi chọn New Database Link làm công việc gì?",a.  Tạo tên một kết nối với cơ sở dữ liệu của máy khác,b.  Tạo cơ dữ dữ liệu để liên kết với Queries,c.  Tạo cơ dữ dữ liệu để liên kết với Form,d.  Tạo cơ dữ dữ liệu để liên kết với Report,Đáp án: a
72,"Câu 72: Trong Oracle SQL Developer, muốn xóa tên của liên kết với cơ sở dữ liệu máy khác bạn chọn",a.  Drop,b.  Delete,c.  Cut,d.  Backspace,Đáp án: a
73,"Câu 73:  Trong Oracle SQL Developer, muốn cấp quyền truy cập cho máy liên kết với cơ sở dữ liệu máy khác bạn thực hiện các bước nào?","a.  Vào System, Other Users, kich chuột phải tên CSDL chọn Edit User","b.  Vào Demo, Other Users, kich chuột phải tên CSDL chọn Edit User","c.  Vào System, Other Users, kich chuột phải tên CSDL chọn Drop User","d.  Vào Demo, Other Users, kich chuột phải tên CSDL chọn Drop User",Đáp án: a
74,"Câu 74:  Trong Oracle SQL Developer, vào System, Other Users, kich chuột phải tên CSDL chọn Edit User",a.  Cấp quyền truy cập cho máy liên kết với cơ sở dữ liệu máy khác,b.  Sửa thông tin của người sử dụng,c.  Xóa thông tin của người sử dụng,d.  Tìm kiếm thông tin của người sử dụng,Đáp án: a
75,"Câu 75: Trong Oracle SQL Developer, cấp quyền truy cập cho CSDL sau khivào System, Other Users, kich chuột phải tờn CSDL chọn Edit User bạn chọn",a.  Roles,b.  Edit,c.  Open,d.  Drop,Đáp án: a
76,"Câu 76:  Trong Oracle SQL Developer, cấp quyền truy cập cho CSDL sau khivào System, Other Users, kích chuột phải tên CSDL chọn Edit User bạn chọn",a.  System Privileges,b.  Edit,c.  Open,d.  Drop,Đáp án: a
77,"Câu 77:  Trong Oracle SQL Developer, cấp quyền truy cập cho CSDL sau khi vào System, Other Users, kích chuột phải tên CSDL chọn Edit User, ở bước cuối bạn chọn",a.  Grant All,b. Revoke All,c.  Admin None,d.  Default None,Đáp án: a
78,"Câu 78:  Trong Oracle SQL Developer, cấp quyền truy cập cho CSDL sau khi vào System, Other Users, kích chuột phải tên CSDL chọn Edit User, ở bước cuối bạn chọn",a.   Admin All,b. Revoke All,c.  Admin None,d.  Default None,Đáp án: a
79,"Câu 79:  Trong Oracle SQL Developer, khi chọn Grant All để làm gì?",a.  Cấp quyền liên kết cơ sở dữ liệu máy khác,b. Cấp mật khẩu,c.  Cấp tên đăng nhập,d.  Cấp quyền truy cập vào bảng biểu,Đáp án: a
80,"Câu 80:   Trong Oracle SQL Developer, muốn chạy các câu lệnh SQL, bạn bôi đen câu lệnh và chọn?",a.  Run Statement,b. F9,c.  Ctrl + F9,d.  Run time,Đáp án: a
81,"Câu 81:  Trong Oracle SQL Developer, muốn chạy các câu lệnh SQL, bạn bôi đen câu lệnh và chọn?",a.   Ctrl + Enter,b. F9,c.  Ctrl + F9,d.  Run time,Đáp án: a
82,"Câu 82:  Trong Oracle SQL Developer, lệnh Ctrl + Enter thực hiện công việc gì?",a.  Thực hiện các câu lệnh SQL,b.  Xuống dòng đoạn mã lệnh đang soạn thảo,c.  Ghi lại dữ liệu,d.  Sang trang mới,Đáp án: a
83,"Câu 83:  Trong Oracle SQL Developer, kích vào nút Run Statement thực hiện công việc gì?",a.  Thực hiện các câu lệnh SQL,b. Xuống dòng đoạn mã lệnh đang soạn thảo,c.  Ghi lại dữ liệu,d.  Sang trang mới,Đáp án: a
84,"Câu 84:  Trong Oracle SQL Developer, kích vào nút commit thực hiện công việc gì?",a.  Cập nhật dữ liệu vào CSDL các máy khác có thế truy xuất được,b. Xuống dòng đoạn mã lệnh đang soạn thảo,c.  Chèn dữ liệu,d.  Sang trang mới,Đáp án: a
85,"Câu 85:  Trong Oracle SQL Developer, kích vào nút F11 thực hiện công việc gì?",a.  Cập nhật dữ liệu vào CSDL các máy khác có thế truy xuất được,b. Xuống dòng đoạn mã lệnh đang soạn thảo,c.  Chèn dữ liệu,d. Sang trang mới,Đáp án: a
86,"Câu 86:   Trong Oracle SQL Developer, sau khi chèn dữ liệu bằng lệnh insert, muốn cập nhật vào cơ sở dữ liệu bạn chọn?",a.  Commit,b. Save,c.  Update,d. Add,Đáp án: a
87,"Câu 87:  Trong Oracle SQL Developer, sau khi chèn dữ liệu bằng lệnh insert, muốn cập nhật vào cơ sở dữ liệu bạn chọn?",a.  F11,b. F12,c.  F1,d. F4,Đáp án: a
88,"Câu 88:  Trong Oracle SQL Developer, cập nhật dữ liệu bạn chọn?","a.  Tên bảng, Data, Insert Row","b. Tên bảng, Data, Insert Column","c.  Tên bảng, Data, Update Row","d. Tên bảng, Data, Insert Data",Đáp án: a
89,"Câu 89:  Trong Oracle SQL Developer, chọn Tên bảng, Data, Insert Row thực hiện công việc gì?",a.  Nhập vào dữ liệu,b. Chèn cột,c.  Sửa dữ liệu đã có,d. Chèn bảng,Đáp án: a
90,"Câu 90:  Trong Oracle SQL Developer, phát biểu nào đúng",a.  Dữ liệu lưu trữ trên tất cả máy,b. Tất cả dữ liệu chỉ được lưu trên một máy,c.  Giữa 2 máy bất kỳ không thể tìm thấy dữ liệu của nhau,d.  Không thể chèn dữ liệu từ máy này sang máy khác,
91,"Câu 91:  Trong Oracle SQL Developer, phát biểu nào sai",a.  Không thể chèn dữ liệu từ máy này sang máy khác,b. Từ một máy có thể tìm được dữ liệu của các máy,c.  Giữa 2 máy bất kỳ có thể tìm thấy dữ liệu của nhau,d.  Dữ liệu lưu trữ trên tất cả máy,Đáp án: a
92,"Câu 92:  Trong Oracle SQL Developer, lệnh Select * from SV@connection thực hiện công việc gì?",a.  Hiện thị dữ liệu bảng SV của máy khác,b. Hiển thị dữ liệu bảng SV của máy hiện tại,c.  Chèn dữ liệu vào bảng SV của máy khác,d.  Chèn dữ liệu vào bảng SV của máy hiện tại,Đáp án: a
93,"Câu 93:  Trong Oracle SQL Developer, lệnh Select * from SV thực hiện công việc gì?",a.   Hiện thị dữ liệu bảng SV của máy hiện tại,b. Hiển thị dữ liệu bảng SV của máy khác,c.  Chèn dữ liệu vào bảng SV của máy khác,d. Chèn dữ liệu vào bảng SV của máy hiện tại,Đáp án: a
94,"Câu 94:  Trong Oracle SQL Developer, lệnh Select * from SV@..., sau dấu @ điền vào nội dung gì? ?",a.  Tên của liên kết với cơ sở dữ liệu máy khác,b. Tên của máy khác,c.  Tên của cơ sở dữ liệu máy khác,d. Tên form,Đáp án: a
95,"Câu 95:  Trong Oracle SQL Developer, lệnh nào đúng ?",a.  Select * from SV@db,b. Select * from SV@192.168.1.1,c.  Select * from SV@vn.plus,d. Select * from @SV@vn.plus,Đáp án: a
